feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
close_loc,4,3,11129,0.2,0.3,0.1596291202002254,1.0085728693898233,0.5243957228861533,-0.01973680064454128,0.0026776889208375287
close_loc,4,4,11129,0.3,0.41025641025641024,0.024149054557213882,0.750187546887382,0.5179261389163446,-0.1552168662875528,-0.00379189504897115
close_loc,4,5,11129,0.41025641025641024,0.5238095238095238,0.18690792204465084,0.9485866059577575,0.5209812202354209,0.007542001199884157,-0.0007368137298948696
close_loc,4,6,11129,0.5238095238095238,0.6341463414634146,0.2852505992945399,0.8882177910018996,0.5203522329050229,0.1058846784497732,-0.0013658010602929371
close_loc,4,7,11129,0.6341463414634146,0.7368421052631579,0.20377870294487485,1.0489877268438086,0.5274508042052296,0.024412782100108166,0.005732770239913809
close_loc,4,8,11129,0.7368421052631579,0.8301282051282052,0.5113144717396946,1.0029587282489594,0.5203522329050229,0.3319485508949279,-0.0013658010602929371
close_loc,4,9,11129,0.8301282051282052,0.9130434782608695,0.22634621913246575,1.0228086325048125,0.5262826848773474,0.04698029828769906,0.00456465091203162
close_loc,4,10,11129,0.9130434782608695,1.0,0.10819720814814558,0.7742335088267716,0.5194536795758828,-0.0711687126966211,-0.0022643543894329543
upper_wick,4,1,11129,0.0,0.03508771929824561,-0.19585903881512468,0.9560229445515489,0.520891364902507,-0.37522495965989133,-0.0008266690628088158
upper_wick,4,2,11129,0.03508771929824561,0.08108108108108109,-0.3031570236367408,0.8613794376421957,0.5189145475783988,-0.48252294448150745,-0.0028034863869169646
upper_wick,4,3,11129,0.08108108108108109,0.125,0.27103801138880845,0.7726781023031926,0.5181957049150867,0.09167209054404177,-0.0035223290502290894
upper_wick,4,4,11129,0.125,0.17391304347826086,0.2541852857006587,1.129783928823791,0.531134872854704,0.074819364855892,0.009416838889388157
upper_wick,4,5,11129,0.17391304347826086,0.22727272727272727,0.375200435902744,1.052576180200493,0.5253841315482074,0.1958345150579773,0.003666097582891603
upper_wick,4,6,11129,0.22727272727272727,0.2857142857142857,0.290495363644227,1.0216591745004777,0.5219696288974751,0.11112944279946033,0.00025159493215931583
upper_wick,4,7,11129,0.2857142857142857,0.35714285714285715,0.15255983016863806,1.0456969570227237,0.5274508042052296,-0.02680609067612863,0.005732770239913809
upper_wick,4,8,11129,0.35714285714285715,0.4444444444444444,0.4263488163498259,0.9754670048289782,0.5225986162278731,0.24698289550505922,0.0008805822625572723
upper_wick,4,9,11129,0.4444444444444444,0.5714285714285714,0.05499307785686099,0.68982168109466,0.5160391769251506,-0.12437284298790569,-0.005678857040165242
upper_wick,4,10,11129,0.5714285714285714,1.0,0.46785444988776953,0.553250345780576,0.5146014915985264,0.2884885290430028,-0.00711654236678938
lower_wick,4,1,11129,0.0,0.037037037037037035,0.27631031245970866,0.8319329129302666,0.5168478749213766,0.09694439161494198,-0.004870159043939171
lower_wick,4,2,11129,0.037037037037037035,0.08695652173913043,0.6110721530598743,1.0448774881144374,0.5274508042052296,0.4317062322151076,0.005732770239913809
lower_wick,4,3,11129,0.08695652173913043,0.13636363636363635,0.2040382885563862,0.8123806815873991,0.5178362835834307,0.024672367711619514,-0.0038817503818850962
lower_wick,4,4,11129,0.13636363636363635,0.1875,0.22153116580251192,0.978707670893364,0.521520352232905,0.042165244957745235,-0.00019768173241074827
